wals code,name,latitude,longitude,genus,family,subfamily,iso codes
cct,Choctaw,32.25,-88.5,Muskogean,Muskogean,,cho
cde,Carib (De'kwana),5.5,-65.0,Cariban,Cariban,,mch
cea,Cree (Eastern),51.0,-74.0,Algonquian,Algic,,crl crj
ceb,Cebuano,10.0,124.0,Meso-Philippine,Austronesian,,ceb
cec,Chicomuceltec,15.5,-92.25,Mayan,Mayan,,cob
cem,Cèmuhî,-20.8333333333,165.166666667,Oceanic,Austronesian,Eastern Malayo-Polynesian,cam
cga,Chaga,-3.0,37.0,Bantoid,Niger-Congo,Benue-Congo,old
cha,Chamorro,13.45,144.75,Chamorro,Austronesian,,cha
chb,Chambri,-4.16666666667,143.083333333,Lower Sepik,Lower Sepik-Ramu,,can
chc,Chechen,43.25,45.8333333333,Nakh,Nakh-Daghestanian,,che
chd,Chaudangsi,30.0,80.25,Bodic,Sino-Tibetan,Tibeto-Burman,cdn
che,Cherokee,35.5,-83.5,Southern Iroquoian,Iroquoian,,chr
chg,Chang,26.3333333333,94.75,Northern Naga,Sino-Tibetan,Tibeto-Burman,nbc
chh,Chaha,8.112935,37.93267,Semitic,Afro-Asiatic,,sgw
chi,Chimariko,41.0,-123.0,Chimariko,Hokan,,cid
chj,Chuj,15.9166666667,-91.5833333333,Mayan,Mayan,,cnm cac
chk,Chukchi,67.0,-173.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,,ckt
chl,Chehalis (Upper),46.5833333333,-123.0,Tsamosan,Salishan,,cjh
chm,Chamalal,42.55,46.05,Avar-Andic-Tsezic,Nakh-Daghestanian,Daghestanian,cji
chn,Chantyal,28.5833333333,83.4166666667,Bodic,Sino-Tibetan,Tibeto-Burman,chx
cho,Chontal (Highland),16.25,-95.75,Tequistlatecan,Tequistlatecan,,chd
chp,Chipewyan,59.0,-106.0,Athapaskan,Na-Dene,,chp
chq,Chinantec (Quiotepec),17.5833333333,-96.6666666667,Chinantecan,Oto-Manguean,,chq
chr,Chrau,10.75,107.5,Bahnaric,Austro-Asiatic,Mon-Khmer,crw
